region_index,mean_low,sd_low,mean_high,sd_high,diff_high_minus_low
1,0.18106639,0.095989462,0.15218977,0.074487324,-0.028876619
2,0.18247607,0.086868887,0.15815076,0.074422154,-0.024325317
3,0.18439926,0.10073927,0.15635564,0.081843002,-0.028043621
4,0.17900043,0.095578033,0.15930825,0.087046956,-0.01969218
5,0.13263157,0.075678225,0.12351014,0.064813759,-0.0091214312
6,0.20040527,0.07515212,0.21887549,0.074790181,0.018470226
7,0.03665639,0.040496585,0.053544314,0.045581288,0.016887923
8,0.048862696,0.045289012,0.069135876,0.043425983,0.020273179
9,0.12423297,0.057048622,0.10470449,0.059310952,-0.019528479
10,0.11998609,0.059301002,0.096543967,0.056844276,-0.023442121
11,0.22667522,0.076424522,0.2058735,0.072321029,-0.020801717
12,0.16443247,0.069424552,0.19865228,0.065841057,0.034219812
13,0.14682203,0.062216657,0.14636562,0.074805557,-0.0004564027
14,0.16070706,0.071975149,0.1566451,0.074423663,-0.0040619521
15,0.11704823,0.059631501,0.10976413,0.055253814,-0.0072840996
16,0.080951338,0.051612378,0.087818282,0.060231304,0.0068669433
17,0.17315902,0.088035755,0.1431564,0.076233116,-0.030002616
18,0.17694001,0.083257255,0.14107529,0.073749781,-0.035864712
19,0.1828572,0.096644514,0.14568185,0.077512804,-0.037175346
20,0.18173105,0.09936588,0.15234961,0.079613613,-0.02938144
21,0.14109189,0.073532574,0.12135301,0.06198115,-0.019738887
22,0.17598634,0.06523026,0.1740446,0.060041903,-0.0019417411
23,0.040761784,0.040747006,0.054408243,0.047534341,0.013646459
24,0.048110979,0.043372689,0.057243699,0.049981532,0.0091327208
25,0.12415302,0.056383855,0.11927263,0.056977132,-0.0048803844
26,0.11039529,0.06427542,0.1050682,0.058902015,-0.0053270874
27,0.18500881,0.070555929,0.1972746,0.067131578,0.012265788
28,0.17780328,0.07267202,0.17551165,0.059218446,-0.0022916308
29,0.1432337,0.061594549,0.14106946,0.069030573,-0.0021642395
30,0.15934733,0.072127444,0.16238193,0.07545363,0.0030345947
31,0.11990016,0.063987269,0.11633481,0.060683467,-0.0035653581
